vectorizer,model,vocab,test_acc,precision,recall,f1,cv_mean,cv_std,train_s
BoW (uni),Naive Bayes,26837,0.84156,0.8598398651495996,0.81616,0.8374307408167453,0.8421200000000001,0.0025568730903194874,0.015425920486450195
BoW (uni),Logistic Regression,26837,0.88092,0.8793721615807505,0.88296,0.881162428645563,0.8773199999999999,0.0025317187837514787,3.896080732345581
BoW (uni),Linear SVM,26837,0.85996,0.8588976629177634,0.86144,0.8601669529096937,0.85564,0.003326018640957971,4.327977895736694
TF-IDF (uni),Naive Bayes,26837,0.8572,0.8720213297783703,0.83728,0.8542976083585013,0.85944,0.003399764697740124,0.01447916030883789
TF-IDF (uni),Logistic Regression,26837,0.89336,0.8857680841048172,0.9032,0.8943991127307296,0.8898399999999999,0.00341150992963527,0.4725320339202881
TF-IDF (uni),Linear SVM,26837,0.89068,0.8869344742888836,0.89552,0.8912065602483977,0.8888,0.002120377324911783,0.3966379165649414
TF-IDF (uni+bi),Naive Bayes,152680,0.88356,0.8937340888560401,0.87064,0.8820359038781052,0.88372,0.0025126878039263283,0.04230213165283203
TF-IDF (uni+bi),Logistic Regression,152680,0.9006,0.8914249980458063,0.91232,0.9017514727394932,0.8963599999999999,0.002121885953579966,1.638115406036377
TF-IDF (uni+bi),Linear SVM,152680,0.91124,0.9061388954728609,0.91752,0.9117939340938904,0.9062800000000001,0.0023103246525109818,0.8695926666259766
